document_number,title,publication_date,effective_on,abstract,html_url
2026-04678,"Certain Van-Type Trailers and Subassemblies Thereof From Canada, the People's Republic of China, and Mexico: Postponement of Preliminary Determinations in the Countervailing Duty Investigations",2026-03-10,,,https://www.federalregister.gov/documents/2026/03/10/2026-04678/certain-van-type-trailers-and-subassemblies-thereof-from-canada-the-peoples-republic-of-china-and
2026-04617,Lithium Hexafluorophosphate From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations,2026-03-10,,The Commission hereby gives notice of the institution of investigations and commencement of preliminary phase antidumping and countervailing duty investigation Nos. 701-TA-790 and 731-TA-1778 (Preliminary) pursuant to the Tariff Act of 1930 to determine whether there is a reasonable indication that ,https://www.federalregister.gov/documents/2026/03/10/2026-04617/lithium-hexafluorophosphate-from-china-institution-of-antidumping-and-countervailing-duty
2026-04611,"Diffusion-Annealed, Nickel-Plated Flat-Rolled Steel Products From Japan: Final Results of Antidumping Duty Administrative Review; 2023-2024",2026-03-10,,"The U.S. Department of Commerce (Commerce) determines that Toyo Kohan Co., Ltd. (Toyo Kohan), the sole producer/exporter subject to this administrative review, did not make sales of subject merchandise at less than normal value during the period of review (POR) May 1, 2023, through April 30, 2024.",https://www.federalregister.gov/documents/2026/03/10/2026-04611/diffusion-annealed-nickel-plated-flat-rolled-steel-products-from-japan-final-results-of-antidumping
2026-04522,Multifunctional Acrylate and Methacrylate Monomers and Oligomers (MAMMOs) From Taiwan; Determinations,2026-03-09,,,https://www.federalregister.gov/documents/2026/03/09/2026-04522/multifunctional-acrylate-and-methacrylate-monomers-and-oligomers-mammos-from-taiwan-determinations
2026-04516,Initiation of Antidumping and Countervailing Duty Administrative Reviews,2026-03-09,,"The U.S. Department of Commerce (Commerce) has received requests to conduct administrative reviews of various antidumping duty (AD) and countervailing duty (CVD) orders with January anniversary dates. In accordance with Commerce's regulations, we are initiating those administrative reviews.",https://www.federalregister.gov/documents/2026/03/09/2026-04516/initiation-of-antidumping-and-countervailing-duty-administrative-reviews
2026-04521,Certain Off-Road Vehicles and Components Thereof; Notice of Institution of Investigation,2026-03-09,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on February 2, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of Polaris Inc., Polaris Industries Inc., and Polaris Sales Inc., each of Medina, Minnesota. A letter supplementing t",https://www.federalregister.gov/documents/2026/03/09/2026-04521/certain-off-road-vehicles-and-components-thereof-notice-of-institution-of-investigation
2026-04586,"Christmas Tree Promotion, Research, and Information Order",2026-03-09,2026-04-08,"This final rule implements changes to the Christmas Tree Promotion, Research, and Information Order (Order). These changes include amending the Board's name from ""Christmas Tree Promotion Board"" to ""Real Christmas Tree Board"", increasing the administrative expenses cap from 10 to 15 percent, allowin",https://www.federalregister.gov/documents/2026/03/09/2026-04586/christmas-tree-promotion-research-and-information-order
2026-04599,Dairy Tariff-Rate Quota Import Licensing Program,2026-03-09,,This proposed rule would amend the regulation that provides for the issuance of annual licenses to import certain dairy articles under tariff-rate quotas (TRQs) as set forth in the Harmonized Tariff Schedule of the United States. FAS proposes changes to make the regulation more user friendly through,https://www.federalregister.gov/documents/2026/03/09/2026-04599/dairy-tariff-rate-quota-import-licensing-program
2026-04494,"Certain Laptops, Routers and Gateways, and Components Thereof; Notice of Institution of Investigation",2026-03-06,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on February 2, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of AX Wireless, LLC of Austin, Texas. Supplements to the complaint were filed on February 10, 2026. The complaint, as",https://www.federalregister.gov/documents/2026/03/06/2026-04494/certain-laptops-routers-and-gateways-and-components-thereof-notice-of-institution-of-investigation
2026-04485,Common Alloy Aluminum Sheet From South Africa: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-06,,"The U.S. Department of Commerce (Commerce) determines that Hulamin Operations (Pty) Ltd. (Hulamin Operations) did not make sales of common alloy aluminum sheet (CAAS) from South Africa in the United States at less than normal value during the period of review (POR) April 1, 2023, through March 31, 2",https://www.federalregister.gov/documents/2026/03/06/2026-04485/common-alloy-aluminum-sheet-from-south-africa-final-results-of-antidumping-duty-administrative
